# ebc6a507-a040-4e99-b1f2-e23a8a1f5cb5
4	5	1	19	3
0	379.3	482.4	349.4
378.1	0	372.1	339
325.4	478.1	0	438
295.4	356.2	392.8	0
1	6894	1	1
2	5805	1	1
3	5905	1	3
1	0.2	10.5	3204	5370	5953	8911
2	90.4	8.2	5288	6316	5682	5901
3	7.1	91.7	5909	9148	12791	13138
4	91.1	76.4	10497	22037	10993	15706
5	11.9	12	0	0	0	0
1	18.1	9.9
1	12.8	32.9	1821	0	0	0
2	1	12	0	2679	0	2854
3	21.4	29.1	0	1128	1454	0
4	29.7	33.6	0	2624	2489	2183
5	30.1	26	0	2847	1226	0
6	30.2	37.7	0	1127	0	2345
7	53.7	36.1	0	2681	1445	0
8	33.5	55.4	1703	0	0	1020
9	31.7	53.9	0	0	3289	3398
10	58.4	54.1	2068	0	0	0
11	46.2	63.1	0	0	0	1279
12	74.1	74.2	2711	3452	1759	0
13	67.2	61.9	0	2124	1761	3988
14	59.1	58.5	0	1741	3621	0
15	77.6	73.8	2442	2208	0	2205
16	78	64.3	0	1643	0	1451
17	81	81.9	3679	2735	3159	2652
18	79.4	86	0	0	0	1316
19	94.1	75.5	1510	0	0	3060
