# 0a1b437e-0b54-4031-a4c5-269892b02914
6	6	5	3	3
0	663.9	627.3	1715.1	2197.4	916.5
810.9	0	2305.5	1066	603.4	1242.2
1653.8	842	0	2359.4	2289.8	501.8
2371.1	1130.5	917.7	0	2406.9	2364.7
2379.5	2219	2493.4	1966.2	0	1977.3
641.3	1971.3	1872.6	2206.7	1944.7	0
1	12050	5	2
2	6893	1	2
3	13892	5	4
1	4.4	6.9	463	11215	1265	1815	8005	5142
2	98.2	6.7	291	21008	1797	2816	9461	7048
3	4.8	87.2	309	19898	2090	1758	7157	14899
4	90	87.5	784	30146	2349	2589	13435	9607
5	12.9	12.6	1038	29380	5717	5406	16935	15164
6	93.3	14.3	0	0	0	0	0	0
1	17.9	6.8
2	93.4	12.9
3	13.4	97.8
4	88.7	77.9
5	6.8	13.7
1	3.3	41.3	646	1360	6254	2836	3848	5388
2	45.8	48.8	542	32835	0	5420	321	31006
3	98.4	62.2	560	32835	2746	885	32835	3859
