# 07c5e31e-c2ff-4b4b-b9e7-3482cce20057
4	7	4	23	5
0	301.2	85.1	212
622.5	0	491.5	2017.7
150.8	84.6	0	298.9
415.8	303.3	222.7	0
1	6205	3	2
2	1491	3	4
3	12225	3	1
4	11151	2	1
5	1686	3	1
1	56.1	52.3	5816	6626	8637	7083
2	55.4	60.2	3754	7319	7077	9244
3	6.1	49	5737	10059	7862	10224
4	67.9	62.4	9597	14026	17566	10126
5	60.5	85.6	13115	23728	18869	13469
6	52.8	8.6	21077	26573	21081	15793
7	40.3	49.9	0	0	0	0
1	64.7	7.6
2	51.9	17.1
3	10.8	56.2
4	93.5	1.7
1	1.1	32.9	3012	2756	888	2385
2	40.3	1.5	0	2540	320	751
3	11.8	89.3	0	6115	2161	612
4	86.3	91.1	0	364	397	0
5	7.3	44.1	342	3098	1215	1576
6	95.9	84.5	2843	603	4097	760
7	86.7	6.8	1347	6220	7643	1539
8	16.6	2.6	3065	3148	4189	3977
9	43	4.1	1473	5238	903	4415
10	53.7	89.7	5706	638	0	0
11	87.8	70	2775	2868	420	0
12	19.5	69	1854	629	8828	0
13	39.9	36.1	3629	3211	0	0
14	77	86	0	531	0	0
15	97.7	59	837	1379	0	3665
16	91.8	28.1	1221	8227	374	7525
17	98.8	80.8	287	1442	5053	8152
18	90.4	83.6	794	1934	172	3032
19	7.5	88.1	2227	2366	4193	512
20	8.6	80.4	779	2079	1492	515
21	4.6	55.7	0	503	0	1127
22	20.4	17.3	0	3517	6238	0
23	52.4	24.9	550	1722	643	1363
