# 2aeeec14-17fe-4748-b2cf-debf3c21788c
3	8	2	48	3
0	348.5	150.4
242.7	0	415.4
437.2	209.1	0
1	11399	1	3
2	15123	1	2
3	17833	1	2
1	4.7	10.2	24784	15084	15314
2	98.1	11	31052	16116	26148
3	8	88.2	26061	18041	27970
4	94.5	93.3	33819	23630	26115
5	9.9	5.9	42412	33496	28514
6	94.7	10.3	44144	43436	41432
7	17.4	92.1	62447	31669	48680
8	90.1	96.6	0	0	0
1	7.7	20.9
2	86.1	13.7
1	66.4	48.8	0	900	0
2	41.9	1	8412	0	3496
3	36.2	42	0	216	0
4	49	49.9	0	0	7440
5	51.6	61.7	0	0	354
6	42.7	86	849	0	0
7	36.8	64.9	2229	5583	0
8	62.1	51.9	0	388	3697
9	66.7	70.3	0	629	0
10	50	58.9	1354	1986	196
11	35.5	10.8	0	1869	0
12	49.9	4.9	5578	2333	2180
13	67.7	90	8276	3285	0
14	57.6	77.2	0	372	540
15	61.3	82.7	5377	3627	0
16	55.5	75.9	0	597	679
17	33.2	63.5	2443	2607	0
18	55.1	81.6	0	0	3194
19	37.3	24.5	8853	0	0
20	67.4	71.9	5143	4354	3389
21	47.3	67.4	279	0	0
22	45.2	75	8038	0	0
23	59.1	76.8	0	0	3553
24	35.3	0	7768	2929	0
25	66.8	75.1	8323	0	570
26	48.6	14.5	0	0	5302
27	47.9	17.9	336	3062	0
28	53	3.9	0	3355	3416
29	59	81	0	3060	162
30	34.1	17.9	0	4925	6612
31	62	51.3	2216	0	7778
32	53.9	71.3	321	907	0
33	85.2	69.8	504	0	507
34	56.6	69.1	7910	0	0
35	61.5	34.8	388	0	5229
36	63.1	68	2709	0	0
37	54	60.8	4077	0	0
38	51.7	60.2	7639	4063	0
39	38.5	74.4	0	533	4059
40	56.8	84.9	0	7794	0
41	69.5	64.5	1218	729	8233
42	64.7	45.6	0	833	0
43	38.3	24.2	256	514	5599
44	67.4	71.8	6369	0	0
45	72.1	82.4	0	0	3451
46	36.1	59.1	0	0	8737
47	63.4	52.4	0	0	167
48	24.4	41.9	2671	0	0
