# 8a2ba5f2-5f75-4740-a2de-530203a061e9
1	2	5	23	5
0
1	6050	4	1
2	8703	5	1
3	6457	3	1
4	8811	4	1
5	8861	3	1
1	90.8	58.1	52466
2	51.1	91.1	24373
1	67.5	23.1
2	22.7	75.9
3	73	65.3
4	93.2	27.3
5	0.9	28.5
1	64.8	53	2744
2	0.1	9.1	1816
3	74.2	29.9	1122
4	44.2	73.3	1470
5	79.3	94.8	2166
6	50.7	33.8	1308
7	46.7	37.2	3028
8	22.4	15.9	3999
9	61.7	90	3904
10	89.4	19	3979
11	9.9	4	1132
12	73.7	7.8	1521
13	65.7	20.4	2099
14	39	16.5	3666
15	24.1	18.1	3592
16	72.4	67.8	2772
17	11	94.9	1680
18	6.9	34.1	3890
19	45.7	80	2324
20	41.7	26.3	1256
21	76.8	36.9	2941
22	38.9	85.3	3260
23	79.1	28.1	3485
