# 11f8ae5f-687e-4099-93ad-d7b674ccc093
6	6	3	28	3
0	279.5	210.3	303.4	402.7	426
302.1	0	305.8	350.7	455.1	196.8
243.3	190.3	0	188.4	213	298.5
213.6	417.2	305.5	0	190.4	415
250.3	462.3	448.9	178.4	0	482.6
194	485.4	347.3	284.9	410.1	0
1	3444	3	3
2	4503	3	1
3	2623	2	2
1	2.9	11.8	11347	16110	7270	11151	9344	12414
2	94.5	20	11233	15243	14382	19268	12961	11998
3	6.9	89.5	13412	25352	14311	18205	15969	12240
4	92.4	89.5	24474	16336	25514	30641	16467	24314
5	14	12.1	25985	44392	44087	35897	23212	34597
6	92.6	13.5	0	0	0	0	0	0
1	5.3	16.2
2	95	30.4
3	17.7	98.2
1	15.4	37.5	0	3767	3311	2031	3122	0
2	23.3	11.9	0	0	2447	1458	1056	1643
3	6.5	16.2	1233	3036	2466	1994	1924	2607
4	27.3	30.7	0	2258	1406	0	0	1562
5	25.4	33	1289	1489	0	2228	2115	0
6	32	40.1	3451	3092	1850	0	1870	2995
7	30.3	28.8	2469	2739	3110	3410	3259	1096
8	31.5	40.8	1936	1054	3129	2049	0	2045
9	20.4	42	0	2217	0	2350	3246	0
10	22.5	45.1	3906	2722	3216	1450	0	1702
11	46.4	52	3796	1285	0	2380	1235	0
12	52.1	50.9	1381	1055	2807	3840	3957	0
13	43.4	43	2686	2777	1955	1053	0	3761
14	47.3	57.9	3290	2936	2860	3130	3171	2356
15	53.3	68.6	2824	1968	2780	2842	0	1771
16	53.2	54.4	0	3152	3042	1859	0	2056
17	63.3	49.7	2268	1042	2058	1959	0	1465
18	59.4	71.5	1234	2999	0	2093	3103	0
19	47	55.9	3690	2009	2305	2297	2336	2192
20	72.1	66.2	0	1956	2831	2555	0	3119
21	65	51.3	0	2619	1948	2701	3875	2803
22	78.1	74.8	2507	3278	1692	1953	3847	3985
23	80.3	81.6	0	2355	0	2314	1028	2162
24	73.9	88.1	2215	0	3372	2010	0	3380
25	78.3	63.9	1254	3467	0	1832	0	0
26	77.2	82.4	3723	2458	0	1484	2130	1005
27	88.9	69	1664	3390	1172	3364	2525	3333
28	98.7	85.3	3333	3353	2532	1700	3221	0
