# c318afb8-71b5-4cf0-bb49-cec5bbc445d3
2	6	1	41	3
0	223.2
226.3	0
1	7801	1	2
2	6904	1	2
3	7461	1	2
1	16.4	49.1	3933	3003
2	53.5	46.5	5133	5885
3	21.1	41	3553	3648
4	13.7	46.7	8924	8187
5	73.6	76.4	13657	10357
6	1.6	88.4	0	0
1	52.2	10.1
1	20.9	71.1	691	110
2	58.1	96.1	559	0
3	43	44.2	0	749
4	66	5.9	0	172
5	12.7	46.6	0	113
6	54.6	60.1	286	766
7	98.1	58.2	946	0
8	7.1	39.8	0	860
9	86.5	22	0	911
10	73.4	95.4	361	0
11	45.4	56.8	990	0
12	14.1	73.6	0	202
13	94.3	56.3	0	770
14	36.7	77.7	892	0
15	47.3	47.7	735	0
16	8.5	24.7	153	657
17	67.2	33.2	667	492
18	68.1	51.5	0	425
19	73.2	33.3	148	0
20	60.2	54.1	255	754
21	79.2	20.1	713	0
22	82.3	69.4	0	596
23	5.1	57.7	0	807
24	27.5	81.7	0	232
25	27.7	91.1	183	293
26	19.7	6.9	506	386
27	76.3	31.8	0	110
28	43.5	20.4	569	0
29	87.3	61.9	226	0
30	53.9	81.3	506	601
31	55.9	19.1	0	872
32	85.3	83.3	592	0
33	25	83.7	0	570
34	33.3	95.2	0	284
35	37.1	65.6	185	924
36	54	35.7	812	143
37	28.1	30.6	666	0
38	20.9	19.9	251	359
39	43	28.8	400	0
40	16.5	40.1	963	0
41	5.1	60.6	673	0
