# faa94525-eeb0-4db1-877b-4c563c201fe6
5	5	2	5	3
0	95.1	135.5	82.5	95.3
103.3	0	91.4	36.7	146.6
87.6	44.7	0	138	66.2
109.2	44.7	95	0	55.8
45.8	138.9	134.2	47.2	0
1	4793	2	1
2	4795	2	4
3	6351	2	1
1	3.2	11.1	1401	1014	2911	2671	2298
2	95	10.5	1996	2451	5525	5482	2081
3	9.4	95	2220	2772	6596	5592	4074
4	88	91.6	3021	4909	10037	11600	3601
5	8.2	8.3	0	0	0	0	0
1	2.8	15.5
2	100	15.1
1	10.4	50.5	1023	2550	1131	0	3195
2	47.8	62.3	0	0	12249	1232	0
3	19.2	41.5	2219	1966	1201	15939	1678
4	16	37.9	1092	0	1571	0	1114
5	77.8	64.4	2583	2598	2900	3935	3581
