# 39499f98-18a0-4b37-afdd-df59ca4409b2
1	8	5	30	7
0
1	3637	1	1
2	3367	3	1
3	1318	3	1
4	1073	4	1
5	3489	5	1
6	2422	5	1
7	2015	1	1
1	6.1	5.4	12270
2	89.1	13.7	8690
3	7	87.5	20621
4	95.5	82.3	16764
5	5.8	4.2	33570
6	93	12.8	33053
7	10.2	93.5	61374
8	90.8	90.5	0
1	11.4	0
2	92.8	10.7
3	6.8	78.6
4	100	78.8
5	7	10.6
1	100	67.8	699
2	87.2	72.1	877
3	73.7	5.2	200
4	75.8	28.7	6641
5	94	40.9	315
6	85.1	80.5	5118
7	53.2	82.6	815
8	85	29.3	4024
9	75.8	30.5	5324
10	59.4	63.5	5875
11	84	67.4	4143
12	100	13.5	1469
13	56	80.5	6765
14	75.3	59.2	355
15	71.7	79.1	600
16	88.4	69.8	362
17	74.4	75.7	5337
18	57.1	55.9	1933
19	74.2	70.2	5834
20	89.9	100	4220
21	76.9	80.5	954
22	67.7	14.5	709
23	87.2	22.6	602
24	77.6	26.6	6035
25	72.8	50.9	4634
26	65.4	71.9	880
27	69.1	61.2	268
28	66.9	63	6128
29	76	43.9	3583
30	72	83.7	4467
