# f759f43a-b6ce-41a7-8b36-e8bae3bd7071
2	1	4	33	7
0	310.7
319.9	0
1	3386	4	1
2	3448	1	1
3	2799	4	1
4	3840	3	2
5	1504	3	1
6	2524	3	2
7	3404	1	2
1	34.4	24.8	99237	100513
1	85.2	97.7
2	56.7	42
3	60.9	53.9
4	25.3	78.5
1	88.9	80	3834	2809
2	88.9	33.7	3785	3301
3	99.4	73.3	2442	3826
4	72.5	28.5	0	1675
5	92	98.4	1964	1689
6	34.2	13.8	3917	1042
7	84.4	29.1	3112	2055
8	94.7	76.8	2512	2396
9	25	10	1619	0
10	59.5	19.8	2620	0
11	10.3	49.3	1316	2974
12	24.8	64.5	1515	2475
13	1.8	34.5	2783	3152
14	26.1	25.4	2804	2441
15	96.5	24.9	2074	0
16	50.7	59.6	2420	3857
17	85	53.3	2791	3303
18	71.7	81.6	0	1490
19	65.5	65.7	1048	2052
20	60.8	48.3	1655	2572
21	41.6	35.7	3270	2207
22	76.8	56.4	2270	3975
23	45.8	78	1193	3258
24	60.9	17.3	2461	1960
25	62.5	65.6	1596	2404
26	3.9	26.6	2040	2676
27	28.7	61	2374	1347
28	73.4	29	0	2360
29	16.6	4.1	0	2846
30	2	46	3337	0
31	39.5	97	3761	0
32	69.4	59.1	1819	2126
33	85.4	53.4	1549	2511
