# 95b82437-12f8-4f3a-8781-bf160403d49b
4	7	4	14	6
0	151.7	316.7	200.5
401.3	0	389.4	441.8
371.8	377.6	0	397.2
245.9	266.3	163.9	0
1	1551	1	4
2	2158	4	3
3	3217	2	1
4	1672	1	1
5	3169	4	3
6	3550	2	4
1	21.3	96	3683	828	1206	3864
2	77.4	37.5	4401	1001	949	2613
3	84.5	66.6	3108	665	1209	4620
4	76.5	94.9	7368	832	1281	6133
5	16.5	86.4	4701	2367	1865	7121
6	71.7	94.9	11214	2252	2880	11548
7	57.3	34.4	0	0	0	0
1	76	28.8
2	53.1	93.8
3	33.6	13.5
4	67.6	85.8
1	54.2	71.9	308	491	752	0
2	31.7	50.2	0	286	0	364
3	30.6	81	565	0	817	0
4	53.4	63.1	243	0	875	445
5	32.2	2.8	139	401	0	515
6	93.8	36.4	575	0	652	0
7	60.1	86.9	591	274	0	495
8	21.4	94.1	645	0	931	0
9	33.5	0.9	143	628	845	348
10	76.3	39.4	0	639	0	0
11	79.5	57.8	123	395	555	0
12	76.7	6.8	827	0	0	0
13	83.9	83.9	13507	845	0	172
14	14.3	85.1	543	408	293	15317
