# a915dfed-c3cd-475f-8a0b-93f52b6b4f9b
6	5	2	4	9
0	1906.7	2373	1307.5	2402.4	2349.5
1428	0	1039.4	2217	730.2	1612.4
1834.2	2194.6	0	735.7	1703.8	2359.7
2004.1	2115	1602.5	0	1812.9	1866.5
834.7	842.5	2333.9	2466.3	0	2339
2324.8	924.2	1594.5	1822.1	657.7	0
1	8552	1	2
2	7617	1	5
3	9829	2	6
4	5171	2	1
5	6596	1	6
6	8830	1	2
7	8599	1	6
8	6326	2	1
9	8578	2	2
1	4.4	7.1	21395	462	1773	1418	24364	14471
2	90	3.6	31957	1022	2403	1394	29110	24519
3	10.9	84.7	45152	796	5259	2346	33116	24461
4	87.2	83.7	63077	1283	6736	3663	35470	54562
5	1.2	4.7	0	0	0	0	0	0
1	0	0.5
2	100	0.8
1	27.5	41.5	70098	0	3710	1139	3002	0
2	22.8	62.4	70098	0	3901	0	3435	1732
3	47.7	31.2	3223	0	2662	3122	70098	3081
4	25.4	53.9	2148	2833	2057	1536	32518	70098
