# 66ad3878-581e-4e18-a5c6-5a47b69f2155
3	8	1	20	3
0	147.9	121.7
63.7	0	121.7
100.6	75.8	0
1	8100	1	3
2	6838	1	3
3	7322	1	3
1	5.9	11.8	4359	10216	5382
2	94.1	11.8	3836	14619	3382
3	10.4	88.1	5708	20480	5602
4	91.1	92.1	10764	14319	7016
5	6.5	3.8	13240	26744	9729
6	86.1	6.4	9698	36062	12423
7	5.1	87.9	16827	60083	17733
8	94.7	91.1	0	0	0
1	5.7	18.2
1	52.9	29.1	0	7192	723
2	17.4	18	958	0	0
3	35.4	30.2	0	0	650
4	49.1	34.8	713	541	0
5	57.7	11.3	638	7260	977
6	23.1	61.5	981	0	8059
7	54.1	31.5	0	1602	0
8	58.3	100	0	8809	0
9	22.9	51.6	2394	0	0
10	53.4	41.4	2207	820	0
11	24.1	14.7	0	2769	0
12	23.1	24.6	0	0	685
13	11.2	67.5	2525	0	0
14	64.4	87.2	7201	7300	7000
15	27.1	74.9	145	334	0
16	69.8	49.2	3117	7354	0
17	33.7	67.1	847	7930	457
18	46.2	23.3	996	611	0
19	22.2	68.9	5688	8895	772
20	73.9	98.3	0	527	3430
