# 61af6403-512d-47e8-8015-1b9156580353
5	5	1	27	4
0	1267.2	68.7	817.5	116.3
1642.3	0	308.2	1178.1	1779.8
89.9	894.2	0	30.8	84.3
170	164.6	149.8	0	87.3
1728.7	1431.1	100.2	653.1	0
1	5118	1	5
2	9330	1	1
3	9507	1	5
4	3664	1	4
1	10.2	7.4	1731	12768	1938	2930	4453
2	96.8	10.9	1301	24243	1852	3557	7986
3	9.5	85.5	2026	25783	3716	4810	8764
4	94.4	93.6	2973	49687	4123	7873	19600
5	7.7	1.6	39	0	0	0	0
1	9.8	23.8
1	55.2	61.4	140	0	0	921	877
2	35.8	50.2	142	443	0	200	268
3	24.2	57.8	0	833	141	0	12478
4	13.6	52.6	848	0	469	416	0
5	38.6	73.4	0	769	100	0	843
6	44	89.4	0	0	257	426	553
7	31.5	43.2	258	260	827	436	477
8	43.1	59.2	247	605	122	103	0
9	43.3	86.7	0	0	0	627	0
10	21.2	83.9	996	0	275	0	433
11	60.4	56.7	655	0	520	104	863
12	49.1	61.5	820	0	0	0	556
13	41.6	77.9	0	690	817	928	805
14	34.7	74.1	219	0	0	462	172
15	34.9	38.4	226	954	0	783	0
16	42.5	83.4	346	27619	962	928	180
17	50.4	89.3	151	0	473	489	224
18	41.4	51.2	0	936	0	655	456
19	29.4	76.4	359	0	0	444	919
20	23.3	77.7	295	27619	0	220	412
21	35.3	65.1	0	0	0	0	344
22	71.5	64.4	0	0	119	470	917
23	13.5	83.9	274	946	508	175	607
24	59.9	83.5	0	0	569	0	570
25	54.6	72.4	289	392	0	1000	670
26	25.6	65.7	0	0	211	853	389
27	28.1	85.4	0	0	761	362	0
