# 51eef3c2-fcee-4678-9dbc-1e6a942ed347
2	6	5	43	2
0	610.2
119.8	0
1	1436	5	1
2	2888	4	2
1	16.7	48	1619	2320
2	98.1	36.1	1921	4731
3	63.5	73.9	2359	5079
4	0.3	91.4	3132	7013
5	55.9	92.4	4138	12897
6	9.1	0.2	0	0
1	18.7	8.6
2	21	22.1
3	67.1	37.7
4	24.3	79.9
5	19.1	77.6
1	91.3	2.6	935	936
2	1.6	32.9	0	753
3	48.6	4.8	0	735
4	19.8	71.7	0	152
5	32.4	1.6	575	817
6	25.2	43.8	0	863
7	99.7	70.2	520	146
8	77.1	73.1	236	388
9	92.2	34	528	0
10	46.9	5.9	828	847
11	68.9	10.7	0	851
12	90.3	72.8	236	0
13	38.3	77.4	0	341
14	91.1	37.6	0	708
15	39	75.9	0	385
16	94.3	40.4	666	153
17	41.8	10.8	637	477
18	84.6	6.7	0	141
19	18.2	1.2	553	649
20	72	70.3	0	639
21	16.4	79.8	0	943
22	5.8	32.4	344	0
23	6.5	83.4	0	583
24	98.3	15.5	398	244
25	76.1	41.7	0	241
26	98.9	2	749	0
27	76	33.9	0	333
28	53.9	0.2	530	290
29	49.2	68.2	787	0
30	50.7	51.4	591	844
31	60.4	56	0	759
32	93.1	78.6	110	648
33	30.8	39.4	0	621
34	34.9	84.9	309	415
35	89.5	93.6	0	372
36	8.8	45.2	0	366
37	92.8	48.2	0	287
38	62	11.6	0	496
39	62	44.8	173	0
40	76.8	91.5	648	979
41	26	75.8	194	231
42	9.3	15.6	0	316
43	47.5	87.7	0	406
