# bf651604-16ea-4bbb-9457-13277df6a54f
6	2	5	19	8
0	135.6	85	120.2	67.7	140.2
64.9	0	50.5	87.5	112.9	67.9
73.4	110.8	0	78.2	93.1	105.6
102.9	101.4	75	0	116.7	96.6
47	107.6	31.4	75.4	0	47.8
96	144.1	140.6	27.2	37.5	0
1	20548	5	2
2	16835	5	2
3	23824	1	3
4	13422	5	6
5	19753	5	5
6	18823	1	5
7	19835	2	5
8	17743	5	2
1	4.5	10.4	27468	139757	31719	120873	76813	22909
2	88.8	8.1	49889	93162	14713	134982	136651	41999
1	0	0
2	98.8	7.9
3	0	17.8
4	93.4	7.8
5	15	0
1	16	35.9	8759	0	5609	4594	4472	0
2	18.2	28	0	7238	7777	0	0	0
3	23	34.2	0	0	0	0	0	7793
4	11	42	7415	0	0	0	6490	4608
5	42.1	53.2	0	150783	0	0	7789	0
6	20.8	39.3	5874	0	7249	6297	6683	0
7	37.5	41.9	0	0	5135	0	4237	7096
8	38.2	25.2	8385	6163	0	4839	119764	0
9	43.4	55	8694	7393	0	8531	4627	4769
10	36.9	57.7	0	0	0	8159	0	8803
11	36	54.6	0	0	0	6511	0	0
12	62.9	48.3	8430	7429	0	8087	6716	0
13	57.4	54	0	0	0	0	8274	6148
14	76.9	67.7	0	6425	7720	6588	0	0
15	81.2	49.3	0	0	0	0	4326	0
16	96.1	69.7	8651	0	0	4996	7257	7592
17	90.6	73.5	4403	0	0	150783	0	0
18	88.5	68.8	0	5440	5801	0	0	8116
19	84.9	72.8	4849	6227	0	7122	0	0
