# 17daff36-33c1-43fb-a62f-7d9b7e886bbe
1	6	2	26	10
0
1	13476	1	1
2	18578	2	1
3	22216	2	1
4	17707	1	1
5	11623	2	1
6	17140	1	1
7	13039	1	1
8	17922	2	1
9	16756	1	1
10	16575	2	1
1	11.9	5.5	22007
2	93.4	3.8	38591
3	10.1	89.7	54099
4	84.2	88.4	80469
5	6	10.8	73495
6	85	10.6	0
1	0	6.8
2	100	14.2
1	80.3	40.7	4899
2	51.2	59.5	8680
3	45.7	80.9	7458
4	55.7	28.7	6932
5	53.4	66.8	6740
6	73.3	45	4236
7	46.2	1.3	6966
8	31.5	16.4	7909
9	39.6	74.5	7698
10	65.9	43	5245
11	52.4	42.4	6518
12	53.6	69.9	7379
13	27.3	54.6	4407
14	82	42	8100
15	54.7	0	6556
16	58	22.8	5077
17	78.8	24.3	6134
18	69.5	29.9	8833
19	84.5	54.7	7164
20	34.7	48	6350
21	66.5	64.8	6932
22	83.5	10.2	6956
23	85.1	17.5	6679
24	73.3	67.9	7766
25	78.4	40	4394
26	62.2	45.5	8405
