# 88070a9f-0914-4012-8047-12a381fa4c34
6	1	1	32	5
0	804.3	1216.5	991.6	724.4	2385.6
1796.8	0	1667	717.6	1513.6	961.8
1610.5	618.7	0	823.3	564.3	557.8
778.9	2098.4	1396	0	1280.1	568.6
1048.8	1558.4	1002.4	1831.8	0	1475.7
2169.9	1850.2	806.2	1007.8	1673.7	0
1	1512	1	6
2	2150	1	1
3	2657	1	1
4	1579	1	5
5	2334	1	4
1	10.2	12	107192	90224	101411	55160	94690	119020
1	7	10.7
1	15.3	14.6	842	7989	5847	1105	1283	0
2	27.1	19.7	1911	5572	142	0	7836	345
3	12.2	21.7	8600	2539	949	191	2368	7383
4	25.9	34.2	410	4452	2821	880	0	254
5	17.9	38.5	5929	923	1707	160	0	2355
6	22.5	16.6	0	7650	2005	532	3951	1816
7	27.8	45.2	8193	212	0	1199	7661	5040
8	31.5	38.2	6111	6548	6334	0	5365	3177
9	32.5	50.2	896	630	4111	2288	5779	2003
10	48.3	39.6	1582	656	510	424	0	7388
11	43.7	45.1	2936	5880	7689	8708	173	5923
12	33.8	57.9	6295	325	425	428	4237	799
13	7.1	40.1	101	2816	676	2214	6986	787
14	44.1	45.5	4344	271	2403	5910	0	2980
15	41.3	46.4	926	2102	920	2735	1799	4734
16	50.8	50.1	892	578	833	1734	2160	4478
17	48.2	40	835	2716	0	496	4493	500
18	67.9	45.6	0	5674	8934	734	150	154
19	58.8	45.1	216	0	3680	0	1895	2953
20	63.1	71.6	8650	5730	3256	378	7247	8522
21	69.2	66.8	8641	683	6399	4720	0	5601
22	56.2	57.8	8335	489	156	0	1009	4657
23	71	56.1	0	667	4152	780	1689	7091
24	68.3	56.3	1329	178	851	5867	6946	6553
25	73.2	53.9	3534	1026	8159	3600	257	3420
26	61.3	58.6	7337	7330	3711	350	730	6244
27	88.5	67.1	3653	2553	6161	0	639	309
28	79	71.3	927	792	3575	858	3575	342
29	73.2	70.6	3612	2353	1132	1393	0	6260
30	87.5	52.3	567	2185	147	858	7806	657
31	79.5	84.6	510	502	1317	576	637	5723
32	99.1	62.6	0	562	3821	1370	0	492
