# 17a23b90-cc6b-4714-8b11-3f7d046c8235
5	5	1	22	8
0	318.6	891.1	137.1	1091.6
152.7	0	337.7	200.5	199.8
156.2	476.2	0	411.3	359.5
253.8	432	418.4	0	384
342.8	594.4	1196.7	618.3	0
1	6264	1	2
2	4514	1	4
3	9369	1	2
4	7883	1	2
5	5087	1	3
6	4986	1	2
7	7274	1	1
8	7910	1	5
1	5.2	11.6	14944	5786	7147	8682	11746
2	91.4	11.3	16124	9948	12709	8006	11288
3	20.2	91.4	17379	18474	15547	9138	11835
4	92.1	88.3	20013	22354	26082	20703	24224
5	10.3	5.7	0	0	0	0	0
1	16.3	11.9
1	67	79.8	0	0	2415	0	1732
2	40.3	55.9	0	1363	3430	0	1680
3	36.7	37.3	0	0	2421	2710	0
4	6.8	62.5	3992	0	0	1683	0
5	40.4	92.4	1712	0	3471	0	3269
6	46	41.4	3856	0	0	0	0
7	36.6	90.4	1101	3871	2355	0	0
8	77.9	70.8	1915	0	2717	2502	3032
9	33.2	97.8	28013	3283	0	1074	2994
10	56.3	91.3	2282	1557	1411	3722	2778
11	30.2	56.4	3121	3505	1251	3346	0
12	49	60.1	3475	3764	1808	0	3190
13	91.3	48.1	0	0	3627	2470	2715
14	23.9	54.2	0	3376	2792	3673	0
15	32	77.6	2806	3187	0	3563	3308
16	66.2	54.5	1542	2609	0	2143	3159
17	38.2	62.3	0	2274	1621	0	2410
18	31	40.4	0	2407	1494	0	0
19	45.8	88.8	0	3328	3193	1724	3803
20	10.2	53.1	2483	1590	2238	2495	3975
21	44.6	85.2	2564	0	2791	3573	2025
22	17.2	60.1	0	1191	3199	0	0
