# 1dde55e0-7cbd-40ff-b79d-bb95dd6fa7b7
1	5	1	19	9
0
1	11207	1	1
2	21921	1	1
3	23811	1	1
4	14991	1	1
5	19760	1	1
6	14742	1	1
7	15446	1	1
8	16558	1	1
9	12296	1	1
1	9.2	0.7	1876
2	96.4	13.7	3399
3	6.9	89	4702
4	92.1	82.9	5810
5	9.8	7.7	0
1	8.6	7.1
1	51.2	76.4	625
2	30.8	84.6	201
3	16.5	80.2	224
4	23.4	70	768
5	52.5	16.2	410
6	35.9	68.5	738
7	51.7	75.1	197
8	38.5	44.9	974
9	49.9	47.8	868
10	36	59.2	344
11	7.6	15.8	431
12	41.4	47.1	175
13	39	89.5	471
14	47.2	68.3	270
15	34.5	24.2	636
16	22.6	75.4	744
17	36.5	90.5	255
18	27.3	77	652
19	26	42.9	483
