# 5ce0c0e1-2c43-4643-a101-5ef1be41be85
4	7	2	14	10
0	2391.6	1350.4	644.4
1902	0	652.7	2178.8
1934.3	673.1	0	852.5
1415.8	1992.8	1714	0
1	1932	1	3
2	3530	1	1
3	2788	1	2
4	3049	1	4
5	1256	1	3
6	1942	2	4
7	1915	2	1
8	2330	2	2
9	1650	2	3
10	3370	2	2
1	10.1	7	7285	9087	14648	5314
2	90.2	17.6	10972	7382	15067	13180
3	12.2	92.3	16441	13862	20394	9057
4	88.3	88.8	23888	15862	17721	15265
5	12	13.9	21436	11083	22131	16367
6	90.2	8	43914	29259	34479	34444
7	12.4	93.4	0	0	0	0
1	0	4.8
2	98	23.5
1	4.6	15.4	0	0	5903	0
2	19.8	32.1	8643	0	0	0
3	9.8	24.5	0	0	7801	0
4	43.2	39.2	8530	0	5802	0
5	46.8	39.1	0	0	8481	0
6	56	49.4	0	0	0	5940
7	52	50.1	0	0	6861	4427
8	45.2	54.3	4531	6636	6818	4296
9	47.5	41.3	8954	8640	5215	0
10	57.2	65.2	0	8857	4986	8778
11	67.3	55.5	5351	0	0	0
12	83.5	72.5	0	0	4053	0
13	93	77.3	0	5327	0	7519
14	87.1	74.1	8239	0	0	4166
