# e3e618bf-1117-40b8-b6f6-230c205c4603
3	8	2	42	1
0	1034.3	1393.5
1305.5	0	1397.1
1718.5	1759.7	0
1	17459	1	1
1	3.5	12.3	15070	15217	26210
2	91	12.1	17496	18753	33172
3	2.3	87.5	14988	20337	31482
4	89.4	88.2	31490	30980	24637
5	1.6	12.5	22551	36020	58215
6	90.3	13.9	67383	35822	74904
7	6.7	89.3	65949	114804	108748
8	88.1	85.6	0	0	0
1	7.1	22.8
2	92.3	13.6
1	0.9	31.1	0	211	8588
2	20.1	14.9	0	5657	458
3	12.3	12.8	5155	1069	0
4	7.7	22.5	589	5940	1094
5	22.6	32.1	2025	13704	1778
6	18.6	38.3	17459	2343	305
7	28.1	31.8	413	570	16643
8	33.8	27.3	0	680	2367
9	3.6	13.4	1396	17459	0
10	36.2	30.2	0	592	7993
11	33.3	41.3	674	4085	3277
12	39.6	41.1	0	3074	1169
13	35.8	30.3	1233	0	5683
14	39.3	31.9	4943	0	7590
15	26.9	47.7	144	3430	2600
16	49.3	48.5	2637	0	3479
17	45.6	38.8	1508	6411	1112
18	41.4	46.9	0	7049	17459
19	33.2	41.5	0	7029	13524
20	41.4	40.5	17459	306	1364
21	37.6	58.1	285	106	8630
22	52.6	48.3	5312	0	5816
23	55	51.4	17459	7752	342
24	50.5	52.9	289	6499	5893
25	42.9	58	0	0	1347
26	58.5	62	2005	8176	566
27	54.5	46.5	3775	7343	8232
28	66.5	59.1	0	3188	0
29	68.2	54.7	3335	4091	3331
30	72.4	75.4	0	564	17459
31	81	77.3	0	138	0
32	67.7	54.6	2688	1764	0
33	85.3	71.7	6255	0	3752
34	73.7	74.1	0	3367	835
35	100	76.6	802	4979	6883
36	70.3	72.9	2291	0	0
37	81.1	76.8	523	17459	0
38	88.7	61	6965	0	176
39	67.7	79.1	3583	313	5990
40	93	67	17459	6997	2327
41	80.3	77.1	7125	183	8264
42	91.8	75.6	523	0	6231
