# 42a84228-2933-44d9-965d-065642c3d989
1	2	3	35	2
0
1	3040	1	1
2	2470	2	1
1	10.8	6.8	140953
2	92.6	16.7	63412
1	14.2	5.6
2	86.9	23.2
3	10.2	4.5
1	24.5	17.8	5230
2	5.8	27	4976
3	38.4	35.9	4617
4	7.2	30.1	4724
5	20.5	25.3	5043
6	19.1	32.2	4795
7	23.2	25.1	5307
8	22	10.2	5342
9	31.8	32.3	5145
10	42.4	31.1	4505
11	28.8	51.6	4294
12	34.9	43.3	4501
13	43	42	4760
14	35.9	36.2	4050
15	47.2	39	4505
16	35.1	42.4	4278
17	52.4	43.8	4668
18	41.8	63.5	4590
19	51.4	46.3	4214
20	52.3	57.8	5328
21	55.3	52.9	4043
22	62.5	49.7	5316
23	67.2	60.6	4264
24	76.1	45.3	4896
25	73.4	56.5	4255
26	85	56.5	4037
27	75.4	66.2	4664
28	75.3	50.3	4937
29	75.8	78.3	4295
30	73.7	65.7	4175
31	76.7	84.3	4659
32	86.5	62.7	5337
33	79.9	73.4	4507
34	88.7	83.2	4697
35	100	70.2	5032
