# 2d313ec7-1820-4982-a074-9d9980712c47
2	4	3	32	6
0	296.8
323.4	0
1	2665	2	2
2	3682	3	2
3	1175	1	2
4	3103	1	2
5	1366	1	1
6	3698	3	1
1	72.3	56.7	15474	17031
2	35.1	92.7	17016	19038
3	90.1	27.8	23784	18561
4	36	88.4	0	4703
1	67.3	90.6
2	98.5	92.4
3	50.3	38.2
1	28.6	80.2	0	2600
2	77.2	16.2	2563	0
3	73.9	33.7	3241	0
4	50.4	38.1	3703	1580
5	45.9	91.1	2363	3000
6	94.3	69.2	0	1465
7	69.6	53.9	0	2440
8	5.3	39.9	2835	0
9	66.6	11.6	3932	1686
10	90.5	4.1	2734	0
11	17.7	76.3	0	1932
12	20.6	58.2	1806	1166
13	46.3	79.3	0	3784
14	20.3	77.8	0	1747
15	56.3	65.8	0	2331
16	81.3	76.3	2394	2168
17	26.8	12.2	2507	0
18	73.8	34.8	0	1538
19	57.3	2.2	1918	3981
20	75.7	55.9	2791	3833
21	58.1	34.7	0	2941
22	52.2	20.7	0	3838
23	13.9	76.3	3338	0
24	33	49	0	2734
25	72.7	34.8	3887	0
26	99.4	67.2	0	3190
27	48.7	5.1	3172	1489
28	75.6	49.8	0	1707
29	16.1	60.4	3480	0
30	63.1	80.4	0	3990
31	32.8	93.9	2407	0
32	19.6	18.1	2735	0
