# fc0c84ba-2473-4918-996d-6582f40f4d86
1	5	5	16	8
0
1	3929	1	1
2	2515	5	1
3	3211	2	1
4	1242	3	1
5	1048	3	1
6	3868	1	1
7	3114	5	1
8	1575	2	1
1	12.5	87.3	24447
2	87.2	90.2	28447
3	15.7	75.5	41244
4	92.5	6.8	43879
5	76.7	18.4	0
1	8.1	79.7
2	61.3	36
3	24.5	47.1
4	73	95.9
5	24.2	53.7
1	49.3	9.5	8894
2	10.8	39.9	4666
3	64.5	44.1	5558
4	95.2	40.2	4650
5	27.1	12.4	4560
6	99	95.6	6072
7	32.1	4.1	4622
8	27.9	75.2	7798
9	37.9	76.6	4972
10	14.5	9.9	6238
11	65.8	60.1	5111
12	97.1	1.8	8093
13	49.5	62.4	4301
14	66.6	26.6	7094
15	14.1	81.3	7036
16	80.2	93.8	6126
