# 8fcd9785-dc28-44f3-904c-970de8268fac
3	7	4	49	10
0	306.7	430.8
212	0	219.1
303.8	392.2	0
1	6271	2	2
2	8249	4	1
3	6664	3	3
4	5384	2	3
5	8991	1	1
6	9933	4	3
7	4845	1	1
8	5584	1	2
9	6041	3	2
10	9170	3	1
1	11.8	8.3	21946	16309	26919
2	88.7	9.6	19602	23321	25226
3	7.8	87.5	35810	48466	36167
4	94.5	84	45985	61504	32726
5	7.5	11.9	40890	69273	50773
6	88	9	75398	71743	93918
7	5	90.7	0	0	0
1	22.6	11.1
2	81.4	5.9
3	4.7	100
4	94.4	82.1
1	19.5	21.4	1265	2991	1074
2	17.8	21.8	0	0	3407
3	14.4	25.7	3292	2423	1479
4	11.2	30.8	0	1571	0
5	27.7	22.1	3805	3331	2346
6	8.8	38.9	0	0	2570
7	13.9	32	0	1132	3396
8	9.6	31.4	2142	1311	1406
9	18.9	32.5	3355	0	3428
10	29.7	47.9	3511	3808	0
11	27.9	32.9	2816	1391	1193
12	22.4	50.8	1979	2772	3304
13	12.9	44.2	0	2824	3614
14	40.9	40.4	1483	0	1140
15	22.7	39.9	3237	1440	0
16	19.2	44.7	0	1103	2477
17	38.3	25.4	2828	1134	3182
18	44.5	35.4	3291	0	3578
19	53.7	31.6	1446	3170	2173
20	32.3	45	1563	2163	0
21	39.7	43.7	0	1493	3071
22	29.1	27.5	1426	2590	2933
23	46.3	44.4	3823	3676	2384
24	48.3	44.4	0	2801	0
25	59.1	52.3	2637	2096	1388
26	56.4	44	2519	2542	1925
27	48.5	60.4	0	2433	3651
28	50.5	62.1	0	2153	3978
29	71.2	47	0	1971	0
30	59.2	60.6	3440	2994	0
31	60.5	66	3194	2697	1501
32	57.8	47.6	1213	3144	1522
33	72.4	60.3	0	2738	0
34	76.7	51.7	1229	3930	0
35	74.7	62.3	0	1260	0
36	65.2	77.4	0	3682	1326
37	73.6	61.4	3763	2081	0
38	82.1	81.7	2949	1701	3421
39	78.6	57.9	0	2110	1679
40	70.5	73.1	3678	3383	2901
41	65.6	70.6	3870	3687	1025
42	89.6	64.2	1541	3512	2087
43	100	68.6	0	2841	1935
44	97.4	65.6	1424	3300	0
45	95.6	62.4	3955	2695	0
46	95.2	78.9	0	0	1382
47	92.3	76	2378	0	2239
48	90	86.5	3365	0	3518
49	83.7	70.2	2165	0	1129
