# 0e8986bc-2861-4831-944c-6d9f7f2d4934
4	3	2	14	4
0	397.2	76.5	34.4
244.4	0	115.7	2052.8
169.5	227.5	0	1789.8
2042.2	169	32.3	0
1	2848	1	2
2	3016	1	2
3	13928	1	4
4	3679	1	4
1	10.6	8	3383	2846	20745	1501
2	88.8	11.7	2628	5634	32000	2615
3	10.6	91.6	2341	894	13079	1532
1	13.2	13.9
2	82.4	12
1	74.3	74.7	465	309	781	746
2	31.5	18.2	1035	286	599	590
3	75.5	79	498	948	23471	0
4	58	75.1	910	757	859	105
5	41.3	79.6	202	838	0	939
6	35.8	24.9	0	973	23471	591
7	46.1	91	0	695	300	0
8	71.7	65.9	707	473	125	738
9	72.1	65.6	291	634	0	0
10	23.6	52.8	215	0	939	496
11	26	68.4	0	128	702	0
12	22.9	18	868	334	354	0
13	38.6	100	670	810	362	110
14	31.3	34.1	732	215	0	143
