# bc63be33-e1b0-4fcd-b004-77534658b325
5	7	2	36	4
0	196	272.9	205.3	272.2
495.5	0	389.1	194.5	393.7
362.8	391.5	0	237.1	278.2
389.1	284.5	379.6	0	436.6
320	193.5	399.7	272.2	0
1	7837	1	4
2	8332	2	1
3	7816	2	4
4	8379	1	1
1	6.7	5	7484	6123	6212	6646	4400
2	95.2	18.7	7843	10709	7231	7470	7440
3	9.1	90	13508	13448	12389	14310	9480
4	93.8	94.5	11608	11358	23611	10507	9707
5	5.6	9.5	18526	16051	29289	15459	9269
6	89.2	16.9	24746	37486	25968	25286	13788
7	10.8	91.6	0	0	0	0	0
1	0	0
2	94.1	25
1	15.3	26.1	0	0	0	182	0
2	9.7	12.4	3155	3713	3654	2275	0
3	10.9	29.3	0	325	4918	859	1720
4	23.8	35.4	4471	0	4034	0	1341
5	27.6	32.9	0	4870	898	0	7166
6	37	56.4	0	0	0	0	319
7	32.6	33	8531	8971	0	0	1811
8	32.4	19.3	728	409	0	5841	3578
9	32.7	46.3	408	0	500	0	2308
10	35.6	16.6	0	1976	0	0	0
11	35.1	35.1	8068	0	0	0	0
12	32.6	35.5	4760	4390	910	6051	1111
13	31	48.1	0	1381	7530	0	730
14	53.7	40.8	0	167	462	228	0
15	40.1	52.4	208	0	7362	3245	172
16	40.4	42	0	0	6373	6838	0
17	47.1	54.3	0	0	0	4888	0
18	45.8	38.9	0	2947	4857	5348	8203
19	40.2	40.9	7028	4977	0	0	590
20	54.8	44.8	0	0	1844	885	0
21	63.5	47.9	0	0	3751	0	0
22	54.4	57.4	0	0	0	106	0
23	64.1	43.4	152	0	3277	0	732
24	83.9	51.3	0	7877	0	4170	398
25	52.1	62	111	0	0	1175	0
26	74.3	67.7	912	0	0	0	763
27	66.7	62.5	0	5029	0	0	424
28	73.7	81.1	3079	0	3259	818	0
29	71.2	66.7	0	0	1991	0	0
30	73.2	69.8	682	2777	6684	331	946
31	78.7	70.6	726	0	877	2926	0
32	83.9	66.6	2653	0	2612	1086	3362
33	84.1	70.8	959	0	444	8193	0
34	86.3	61.3	0	0	124	0	0
35	98.2	90.7	0	712	783	778	0
36	85	94.7	7928	0	0	441	640
