# 79276efb-6e5f-4dfe-ae10-0f8a62f82966
4	2	1	30	9
0	72.9	131.6	128.2
73	0	48.7	60.1
127.1	98.3	0	80.4
134.3	135.7	65.6	0
1	12138	1	3
2	15456	1	2
3	15321	1	3
4	22376	1	1
5	13679	1	2
6	16335	1	1
7	12276	1	4
8	19762	1	4
9	24778	1	1
1	23.8	37.2	100290	33909	25879	105278
2	26.3	21.2	80369	46399	46663	152523
1	28.6	71.1
1	82.4	45.5	922	0	0	3293
2	38.2	74.4	0	0	0	1620
3	18.7	72	3717	516	0	932
4	54.7	55.5	435	0	6639	0
5	2.3	85.4	4468	2877	5906	0
6	34.4	93.4	214	0	0	5422
7	49	96.9	1274	7517	1808	0
8	15.7	9.9	0	785	259	0
9	77.5	58.3	1377	0	3912	0
10	83.4	45.4	7985	3807	2350	0
11	78.8	95.4	5157	0	0	5849
12	63	28.1	357	0	7640	4507
13	87.4	39.7	85514	0	0	5533
14	25.6	54.2	0	5237	591	5111
15	95.2	87.5	861	0	0	994
16	98.1	32.1	0	0	183	0
17	93.3	43.2	0	0	0	3972
18	70.7	76.9	4466	0	431	5288
19	29	9.3	738	2437	5168	0
20	41.9	39.2	7131	5507	0	1142
21	94.3	52.8	5438	0	4022	211
22	33.5	99.5	0	0	0	744
23	10.3	53.2	1456	1568	4368	0
24	9.7	20.7	0	5799	385	162
25	13	14	0	4353	4752	0
26	25.2	13.5	0	2524	0	0
27	5.2	22.5	4008	1740	0	152121
28	82.8	27.2	3395	911	7573	0
29	19.1	89.5	0	8382	0	2066
30	82	58.7	517	8020	0	0
