# 6c408e2f-f5ea-489e-b3dc-d462517b28ba
1	8	5	32	1
0
1	7410	5	1
1	2.1	6.9	24871
2	98.8	21.1	21422
3	12	87	46123
4	84.8	81.1	50347
5	10.3	17.5	67670
6	85.7	12.8	97083
7	1.3	90.5	99272
8	84.2	86.1	0
1	0	11
2	100	27
3	22.5	85.2
4	83.2	80.9
5	15.2	12.9
1	29	75.8	4261
2	37.6	8.2	5082
3	54.6	82.7	5875
4	41.2	15.7	5511
5	68.5	13.7	6231
6	44.7	16.3	7021
7	49.8	37.4	6861
8	57	89.8	5744
9	57.2	78.8	6414
10	52.1	14.9	4883
11	65.3	21	4636
12	48.6	85.1	6804
13	43.4	90.5	6908
14	56.3	37	5500
15	59.5	14.9	6122
16	42.9	67.4	6468
17	87.6	34.8	4752
18	31	84.6	4700
19	85.8	18.3	6382
20	92.9	35.8	5702
21	53.2	12.8	5085
22	50.9	78.8	7254
23	45.8	48.4	6625
24	54.8	100	6350
25	35.9	63.6	4651
26	79	35.5	4046
27	35.9	18.7	4150
28	69.3	51.4	6073
29	60.8	34.9	5614
30	55.8	40	4009
31	47.4	72.2	4455
32	63	56.5	4716
