# d8fa63be-72cc-49e7-a1af-cd8f17c5b210
2	4	2	50	9
0	89
103.5	0
1	23876	1	2
2	24038	2	1
3	12984	2	1
4	11058	1	1
5	22847	1	2
6	23701	2	2
7	10232	2	1
8	16400	2	1
9	21897	1	2
1	13.4	11.5	6129	35803
2	92	9.7	9309	51909
3	8.4	91	10703	100532
4	95.1	85.7	0	0
1	10.5	21.6
2	80.6	0.3
1	34.1	63	748	547
2	38.1	72.8	0	872
3	41.5	58.2	620	0
4	16.4	86.2	0	220
5	36.4	65.7	453	776
6	0	71.2	0	742
7	59.8	59.5	939	385
8	29	60.2	995	597
9	27.8	66.7	0	312
10	66.9	52.5	874	0
11	31.8	77.9	0	815
12	52	26.6	0	282
13	38.1	59.8	219	0
14	46.5	65.3	594	905
15	20.8	56.7	206	0
16	58.5	41.3	779	778
17	42	82.4	142	198
18	46.5	36	959	0
19	41.1	51.4	0	543
20	24.1	74.4	0	870
21	27.8	74.3	0	591
22	6.6	43.1	0	647
23	19.1	87.2	0	797
24	42.9	38.3	977	612
25	29.7	68.9	0	440
26	31.6	64	535	0
27	39.2	65	435	0
28	16.3	82.4	0	673
29	16.2	51.3	531	724
30	43.1	43.5	105	803
31	44.8	45.9	875	193
32	52.8	65.2	962	500
33	41.2	46.9	0	991
34	41.6	78.6	990	969
35	69.9	67.7	628	0
36	92.3	80.3	535	331
37	21.6	71.3	701	0
38	38.4	80.4	861	0
39	46.3	53.7	0	795
40	37.9	57.2	717	374
41	36	76.4	0	405
42	57.1	63.2	356	0
43	19.7	68.7	287	0
44	26	41.4	255	258
45	42.7	54.9	243	0
46	19.7	67.6	0	911
47	50.9	52.9	0	460
48	24.3	28.6	339	876
49	57	40.5	214	126393
50	77	77.4	995	380
