# 80847739-7e38-4418-9c03-9971cf555632
1	7	5	37	3
0
1	6942	5	1
2	8569	3	1
3	9947	1	1
1	70.2	67.9	3215
2	96.4	91.8	3547
3	14.1	6.7	3953
4	65.2	13.9	3747
5	41.7	78	4457
6	37.3	46.2	13672
7	83	15.4	0
1	83	40.1
2	1.9	37.7
3	49.4	34.3
4	44.4	10.3
5	15.4	57.7
1	60.2	81.2	119
2	63.8	31.1	724
3	46.4	73.1	946
4	48.9	30.1	182
5	3.3	49.5	298
6	32.1	10.7	275
7	73.2	36.9	449
8	11.3	30	324
9	55.3	60.2	996
10	99.2	66.7	458
11	27.2	26.1	247
12	80.4	36.3	706
13	35.5	31.3	269
14	89.3	43.6	809
15	27.5	28.2	845
16	95.1	17.5	324
17	36.9	96	940
18	72.4	77.2	444
19	62	58.5	768
20	40.5	84.4	698
21	11.6	2.2	684
22	68.8	5.3	506
23	49.8	67.8	145
24	19.8	66.1	183
25	13.3	81.5	415
26	77.1	84.6	220
27	60	40.7	591
28	5.3	63.4	166
29	46.7	70	348
30	54.9	39.4	135
31	18.9	74.1	333
32	94.3	41.1	854
33	42.4	17.5	551
34	17	68.4	824
35	81.8	81.3	810
36	98.8	85.2	745
37	73	91.2	337
