# 2f249069-b0d1-4d0b-a2f6-4a4820744c5e
1	8	4	49	2
0
1	5298	3	1
2	14578	2	1
1	72.1	46.4	3614
2	57.9	31	3916
3	71.2	80.2	5769
4	46.8	46.6	6508
5	41.9	54.1	4565
6	77.2	38.6	11914
7	63.7	96.6	14331
8	6.7	67.6	0
1	37.1	24.3
2	17.1	70.7
3	24.5	83.8
4	39.7	43.7
1	6.1	46.7	341
2	90.2	94.9	869
3	4.5	75.3	259
4	8.3	92.5	476
5	1.5	53.1	337
6	7.1	62.5	995
7	19.9	33.2	639
8	67.9	19.2	674
9	56.1	49.1	373
10	90.2	88.4	753
11	40.3	62.7	989
12	91.5	2.6	533
13	43.6	28.5	647
14	75.4	92.1	863
15	6	64.5	356
16	90.5	2.9	601
17	80.6	76.2	656
18	31.6	26.9	106
19	74.3	79.5	309
20	13	47.7	931
21	39.7	81.2	133
22	86.3	66.5	804
23	49.5	70.3	859
24	70.2	37.9	979
25	88.1	89.6	941
26	82.6	10.6	561
27	4.6	0.5	369
28	10.3	1.5	641
29	0.8	59.2	573
30	19	19.6	318
31	84.9	19.9	619
32	76.6	9.5	441
33	23.6	21.7	766
34	9.7	22.1	726
35	67.9	73.2	628
36	87	98.8	490
37	50.6	63.6	112
38	38.8	64.7	196
39	62.4	25.1	145
40	92.7	16.8	656
41	27.9	34.9	188
42	92.9	3.3	950
43	32.8	14.2	301
44	98.6	54.6	791
45	64.2	37.2	685
46	5.3	0.4	199
47	1	14.5	506
48	21.8	71.9	703
49	25.4	26.7	596
